id_pesquisavel;chave_pesquisavel;id_item;descricao;titulo;subtitulo;versao_min_ios;versao_min_android;deeplink;icone;feature_flag;palavras_chave
FEATURE-conta_global;conta_global;conta_global;Dólar e euro com taxas reduzidas e cartão internacional pra você. ;Conta Global;Dólar e euro com taxas reduzidas e cartão internacional pra você. ;11.00.173;11.16.000;picpay://picpay/global-account;global;is_global_account_pf_available;dolar,euro,cambio,comprar dolar,multimoeda,iof,conta global,conta internacional,viagem internacional
FEATURE-previdencia_privada;previdencia_privada;previdencia_privada;Cuide de seu futuro com diversos planos;Previdência privada;Cuide de seu futuro com diversos planos;11.00.185;11.41.001;picpay://picpay/investments/purchase/offers/v2?productId=8&productTypeId=0;safe;is_previdencia_card_available;investimento,previdencia,futuro,aponsentadoria,rentabilidade,prev
FEATURE-antecipar_inss;antecipar_inss;antecipar_inss;Antecipe seu INSS sem burocracia;Antecipar INSS;Antecipe seu INSS sem burocracia;11.00.076;11.00.107;picpay://picpay/benefits/wage_advance;money_bag_watch;is_home_drawer_anticipate_inss;adiantar,inss,antecipacao,receber inss,adiantar inss,picpay antecipa,aposentadoria
FEATURE-662aa6e5cf6e73fac7a59da8;662aa6e5cf6e73fac7a59da8;seguro_renda_protegida_fgts;Receba R$ 1.000,00 em caso de desemprego;Seguro Renda Protegida FGTS;Receba R$ 1.000,00 em caso de desemprego;10.19.024;10.19.035;picpay://picpay/insurance/route?feature=fgts&screen=main&origin=busca-fgts;loan;insurance_hub_v2_fgts_loan_rule;seguro,seguro renda,seguro desemprego,seguro fgts,dinheiro fgts,fgts,renda protegida,fiquei desempregado,auxilio desemprego
FEATURE-beneficios_do_picpay_card;beneficios_do_picpay_card;beneficios_do_picpay_card;Confira os benefícios do seu cartão de crédito;Benefícios do PicPay Card;Confira os benefícios do seu cartão de crédito;11.00.180;11.40.000;picpay://picpay/card/benefits;gift;;beneficios do cartao,vantagens do cartao,vantagem do cartao,meu picpay card,meu cartao,picpay card,beneficios picpay,cartao de credito picpay,vantagens picpay card,mastercard beneficios,menu de beneficios picpay,programa de recompensas picpay,cartao digital picpay
FEATURE-648b517eb6724d9b57694b2d;648b517eb6724d9b57694b2d;carteira_compartilhada;Acompanhe as movimentações do saldo compartilhado;Carteira Compartilhada;Acompanhe as movimentações do saldo compartilhado;11.00.086;11.00.120;picpay://picpay/shared-wallet;group;show_shared_wallet_drawer_home;compartilhar,carteira compartilhada,conjunta,carteira,conta,conta conjunta,conta compartilhada
FEATURE-64a30725a2ae3816e45bbd73;64a30725a2ae3816e45bbd73;seguro_vida;Proteção completa pro seu futuro e também pro seu agora;Seguro Vida;Proteção completa pro seu futuro e também pro seu agora;11.00.086;11.00.126;picpay://picpay/insurance/life?origin=busca;heart_shield;;seguro vida,seguro de vida,cobertura de morte natural,seguro morte,seguro invalidez,seguro acidente,protecao morte,protecao invalidez,protecao acidente,cotacao de seguro de vida,protecao vida,vida protegida,seguro familia,doencas graves,morte,invalidez,acidente,beneficiario,beneficiarios,funeral,assistencia funeral,internacao hospitalar,protecao doenca,vida,seguros,seguro invalidez,cancelar seguro,indenizacao,sinistro,acionar seguro,manual seguro,acionar,apolice,seguranca,sorteio seguro,sorteio
FEATURE-56650b5a743cf7842ba44d81;56650b5a743cf7842ba44d81;promocoes;Cashback, ofertas e cupons num só lugar. Aproveite!;Promoções;Cashback, ofertas e cupons num só lugar. Aproveite!;11.00.023;10.19.138;picpay://picpay/store?origin=BUSCA;tag;;codigo pro,gift card,ofertas,promocao,voucher,promo,saldo promocional,dinheiro de volta,descontos,sites parceiros,codigo promocional,cupons,locais proximos,cupom de desconto,cupom promocional,indicar amigos,store,ganhar dinheiro,indicar pessoas,cashback,promocional,retorno,cupom,creditos,promocoes,cupom pro
FEATURE-64ad85b47efd66cacae3b41d;64ad85b47efd66cacae3b41d;cartao_original;Veja as informações do seu cartão Original na carteira;Cartão Original;Veja as informações do seu cartão Original na carteira;11.00.078;11.00.119;picpay://picpay/wallet;credit_card;flag_show_original_card_search;original,cartao original,meu cartao original,cartao de credito
FEATURE-7130064373155a481f309d58;7130064373155a481f309d58;multas_e_ipva;Consulte seu IPVA, multas e taxas e pague em até 12x;Multas e IPVA;Consulte seu IPVA, multas e taxas e pague em até 12x;11.00.007;11.00.013;picpay://picpay/vehicle-debts;car_search;;veiculo,ipva,automovel,detran,renavan,multa,renavam,dpvat,pagar ipva,licenciamento,taxas,debitos de veiculo,moto,carro
FEATURE-459b5cc9013bee1708195422;459b5cc9013bee1708195422;sacar;Saque seu dinheiro no caixa do Banco24Horas;Sacar;Saque seu dinheiro no caixa do Banco24Horas;10.19.094;10.19.184;picpay://picpay/cashout/withdraw;cash_machine;;banco 24horas,digital,saque,banco24horas,sem cartao,sacar,tirar dinheiro,saque digital,retirar,banco 24h,retirar dinheiro,saque sem cartao
FEATURE-6347f142cfd93f0d716116f1;6347f142cfd93f0d716116f1;xbox;Compre jogos, filmes, música e muito mais;Xbox;Compre jogos, filmes, música e muito mais;11.00.046;11.00.090;picpay://picpay/store-home/category?name=lojas_xbox&screen=BUSCA&component=SERVICOS;game_controller;;jogo,jogos,recarga jogo,gift card,xbox,live gold,game pass,pass,game,gold,pc game pass,halo,starfield,ultimate
FEATURE-5aaab8f86344590001f47205;5aaab8f86344590001f47205;pagar_boleto;Pague boletos de água, luz, telefone, internet e mais;Pagar boleto;Pague boletos de água, luz, telefone, internet e mais;;;picpay://picpay/boleto;bar_code;;agendados,demei,dea,setec,aguas,governo,boleto,sanep,cert,ultrawave,pagar boleto,codau,azul seguros,capemisa,tributos,pmi,alfa seguradora,simasa,luz,cosanpa,bhtrans,dmaes,apa,coopercocal,pref,arrecadacao,centauro vida,emdaep,celpa,brk,damae,cebranorte,fundo mun,celpe,sanecap,cemar,ceam,taxa,jucepe,ceal,coopera,compagas,cbmerj,cagece - ce,certrel,gas natural,dmaeg,metlife,sanecab,caiua distribuicao,eletropaulo,cergal,saeec,voce telecom,telecomdados,ameri,municipal,cicab,caema,secretaria,cea,renach,ceb,zurich,dmae,empresa jornalistica,saneba,ceg,cermc,cedae,cef,poder judiciario,fundema,tribunal,btc,cegero,sanesc,grrj,banda larga,caepa,funesbom,cerpalo,celesc,cedri,teotrnas,ctbc,deas,sancor,telepara,cervam,daepromat,fonar,dalzisa,fipecq,asa,coorsel,comasa,icms,ejw,prefeitura,saneouro,sanelider,daesc,gfip,saneatis,cooperzem,amazonia celular,eflul,gasbrasiliano,valenet,demae,coopersul,geplan,ceriluz,allianz seguros,amazonas energia,setae,bahiagas,daemo,comgas,iss,convenio,afeam,conisa,copel,agespisa,coelce,custas judiciais,coopernorte,demasr,sulgipe,sanesul,fundepec,amazonprev,eletricidade,tim,hidropan,vivo,telaima,grde,copanor,embratel,sanessol,dmaat,seama,ats,compesa,simternet,energia,sicoob,tmais,coelba,consigaz,ceee,itau,cerbems,equatorial previdencia,porto seguro,sane,mongeral,sanear,alianca administradora de beneficios de saude,deso,maritima,sefa,propangas,boletos,arc vida,seguros,strans,sulamerica,intelig,samae,oi tv,ultragaz,minasgas,saerb,dmed,saae,sesam,cerfox,sanepar,sameae,aes,rge,gam,samar,saerp,sigefredo,alianca vistoria e certificacao automotiva,ceris,telemazon,pmal,bahiana distribuidora,oi contas,procuradoria vitoria,gru,uhenpal,sabesp,sidys,semais,claro,gasball,tnl pcs,doc simples domestico,prolagos,servico,saned,telecomunicacao,sercomtel,emasa,saate,conta de luz,bandeirante energia,sefaz,dediac,cemig,epsilon,onnet,pmcm,tjrj,coodesam,creluz,agua,transbetim,sky,fms f m saneame,sanefrai,teleamapa,municipio,sasb,banco,saema,copasa,cerrp,alianca telecom,cernhe,cooperalianca,jucep,fgts,cia paulista de energia eletrica,saemi,cersad,saaec,saaei,fundo meio amb,cetril,cohab,unimed,cosern,enersul,semae,saaep,enel,jusprev,cergapa,algar,sanasa,sisar,telecomunicacoes,saev,cemirim,saep,cersul,daae,sisam,energisa,liquigas,saneago,cerej,gaivota saneam,hidromar,saec,telecom,lgtel6,aeroporto,chesp,dare,darf,energida,equatorial negocios inteligentes,casan,proc,tjsp,cia forca e luz do oeste,gnre,certaja,bau da felicidade,cesama,esap,celg,aerg,fundacao cultural,pagar luz,fundagro,amae,ceripa,cergral,concessionaria,guia recolhimento uniao,coden,emp forca e luz,coopermila,dae,proc geral,sanemat,ceron,cosama,naturagua,urbs,caerd,cia ituana de saneamento,net,cesan,gasmig,transneves,das mei,cermeso,oi brt,brasil telecom,supergasbras energia,nextel,corpo bombeiros,edp,cfpl,ampla,telefonica,mapfre,transit,seguradora,tbonet,cpnet,certel - energia,elet,qnet,telemar,cia nacional de energia eletrica,faculdade,simae,dsm,daev,daet,daes,eppo,daep,saaemb,junta comercial,semasa,smae,celtins,tokio marine,esgoto,ccohasb,pagar conta,coprel,sae,iptu,cepisa,cpfl,das simples nacional,jari celulose,dda,eletrocar,tco,caern,cagepa - pb,elektro,imposto,recebimento,cermoful,saneamento,embasa,datema,caesa,celetro,caesb,caesc,cocel,cermissoes,caesi,pagar
FEATURE-636e83da1b547d62b1542f21;636e83da1b547d62b1542f21;emprestimo_com_fgts;100% online, disponível também pra quem é negativado;Empréstimo com FGTS;100% online, disponível também pra quem é negativado;11.00.025;11.00.030;picpay://picpay/fgts-loan/offer/BUSCA;loan_watch;;veiculo,juros baixos,dinheiro,pedir credito,ipva,garantia de veiculo,pedir dinheiro,multa,pedir emprestimo,emprestimo usando carro,licenciamento,emprestimo com carro,fgts,fgta,fgtd,dgts,fjts,enprestimo,credito com garantia,contratar emprestimo,saque aniversario,credito,emprestimo fgts,veiculares,taxa de emprestimo,autorizar
FEATURE-50274f10009544368f8baaa5;50274f10009544368f8baaa5;renegociacao_de_dividas;Escolha as melhores opções pra você;Renegociação de Dívidas;Escolha as melhores opções pra você;11.00.084;11.00.120;picpay://picpay/renegotiation/onboarding;handshake;;renegociar,refinanciamento,negativacao,protesto,divida,desenrola,acordo extrajudicial,acordo,divida vencida,acordo judicial,renegociacao,renegocia
